ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,"Autauga County",Alabama,82,124,3.7,78.3
AL-003,"Baldwin County",Alabama,82.7,125,3.3,79.4
AL-005,"Barbour County",Alabama,81.1,118,2.5,78.6
AL-007,"Bibb County",Alabama,79.8,109,2.2,77.6
AL-009,"Blount County",Alabama,78.7,118,2.9,75.8
AL-011,"Bullock County",Alabama,80.8,117,2.7,78.1
AL-013,"Butler County",Alabama,81.6,125,3.3,78.3
AL-015,"Calhoun County",Alabama,78.1,107,2.1,76
AL-017,"Chambers County",Alabama,78.6,113,2.5,76.1
AL-019,"Cherokee County",Alabama,77.8,103,1.8,76
AL-021,"Chilton County",Alabama,80.5,119,3.1,77.4
AL-023,"Choctaw County",Alabama,81.8,119,3.2,78.6
AL-025,"Clarke County",Alabama,81.4,119,2.7,78.7
AL-027,"Clay County",Alabama,77.5,111,2.4,75.1
AL-029,"Cleburne County",Alabama,77,110,2.3,74.7
AL-031,"Coffee County",Alabama,82.7,126,3.9,78.8
AL-033,"Colbert County",Alabama,78.6,116,2.8,75.8
AL-035,"Conecuh County",Alabama,81.2,116,2.2,79
AL-037,"Coosa County",Alabama,79.8,120,3.1,76.7
AL-039,"Covington County",Alabama,82.3,124,3.3,79
AL-041,"Crenshaw County",Alabama,81.7,126,3.6,78.1
AL-043,"Cullman County",Alabama,78.4,116,2.8,75.6
AL-045,"Dale County",Alabama,82.6,124,3.5,79.1
AL-047,"Dallas County",Alabama,81.8,122,3.2,78.6
AL-049,"DeKalb County",Alabama,75.3,85,0.8,74.5
AL-051,"Elmore County",Alabama,81.4,122,3.4,78
AL-053,"Escambia County",Alabama,81.5,119,2.3,79.2
AL-055,"Etowah County",Alabama,78,103,1.9,76.1
AL-057,"Fayette County",Alabama,79.4,109,2.2,77.2
AL-059,"Franklin County",Alabama,78.4,116,2.8,75.6
AL-061,"Geneva County",Alabama,82.6,124,3.3,79.3
AL-063,"Greene County",Alabama,80.9,106,2.1,78.8
AL-065,"Hale County",Alabama,80.5,106,2,78.5
AL-067,"Henry County",Alabama,82,123,2.7,79.3
AL-069,"Houston County",Alabama,82.6,123,2.9,79.7
AL-071,"Jackson County",Alabama,76.2,95,1.4,74.8
AL-073,"Jefferson County",Alabama,79.3,111,2.4,76.9
AL-075,"Lamar County",Alabama,80.4,114,3,77.4
AL-077,"Lauderdale County",Alabama,77.7,109,2.3,75.4
AL-079,"Lawrence County",Alabama,77.8,111,2.1,75.7
AL-081,"Lee County",Alabama,79.3,110,2.1,77.2
AL-083,"Limestone County",Alabama,77.7,106,2.1,75.6
AL-085,"Lowndes County",Alabama,82.4,126,3.8,78.6
AL-087,"Macon County",Alabama,80.6,115,2.4,78.2
AL-089,"Madison County",Alabama,78,110,2.4,75.6
AL-091,"Marengo County",Alabama,81.1,116,2.5,78.6
AL-093,"Marion County",Alabama,79,113,2.8,76.2
AL-095,"Marshall County",Alabama,77.8,108,2.2,75.6
AL-097,"Mobile County",Alabama,83,128,3.8,79.2
AL-099,"Monroe County",Alabama,81.3,118,2.5,78.8
AL-101,"Montgomery County",Alabama,82.3,125,3.8,78.5
AL-103,"Morgan County",Alabama,78.5,112,2.7,75.8
AL-105,"Perry County",Alabama,80.6,115,2.5,78.1
AL-107,"Pickens County",Alabama,81.1,114,2.8,78.3
AL-109,"Pike County",Alabama,81.6,123,3.2,78.4
AL-111,"Randolph County",Alabama,77.7,111,2.5,75.2
AL-113,"Russell County",Alabama,80.1,106,1.8,78.3
AL-115,"St. Clair County",Alabama,78.6,111,2.4,76.2
AL-117,"Shelby County",Alabama,79.5,115,2.6,76.9
AL-119,"Sumter County",Alabama,81.1,112,2.4,78.7
AL-121,"Talladega County",Alabama,79,113,2.5,76.5
AL-123,"Tallapoosa County",Alabama,79.1,114,2.6,76.5
AL-125,"Tuscaloosa County",Alabama,80,106,1.8,78.2
AL-127,"Walker County",Alabama,78.8,111,1.9,76.9
AL-129,"Washington County",Alabama,82,120,3,79
AL-131,"Wilcox County",Alabama,81.7,121,3,78.7
AL-133,"Winston County",Alabama,77.8,111,2.3,75.5
AZ-001,"Apache County",Arizona,69,116,3.5,65.5
AZ-003,"Cochise County",Arizona,78,104,2.5,75.5
AZ-005,"Coconino County",Arizona,71.6,118,4.2,67.4
AZ-007,"Gila County",Arizona,76.4,108,3.2,73.2
AZ-009,"Graham County",Arizona,78.8,112,3,75.8
AZ-011,"Greenlee County",Arizona,73.4,107,2.5,70.9
AZ-012,"La Paz County",Arizona,89.9,119,4.9,85
AZ-013,"Maricopa County",Arizona,88.6,125,4.9,83.7
AZ-015,"Mohave County",Arizona,81,116,4.4,76.6
AZ-017,"Navajo County",Arizona,70.9,115,3.7,67.2
AZ-019,"Pima County",Arizona,84.8,119,3.9,80.9
AZ-021,"Pinal County",Arizona,87.2,121,4.3,82.9
AZ-023,"Santa Cruz County",Arizona,76.8,108,2.7,74.1
AZ-025,"Yavapai County",Arizona,77.2,120,4.8,72.4
AZ-027,"Yuma County",Arizona,90,126,5.8,84.2
AR-001,"Arkansas County",Arkansas,79.8,101,1.4,78.4
AR-003,"Ashley County",Arkansas,80.4,111,1.9,78.5
AR-005,"Baxter County",Arkansas,76.2,108,2.6,73.6
AR-007,"Benton County",Arkansas,75.8,106,2.2,73.6
AR-009,"Boone County",Arkansas,75.5,107,2.4,73.1
AR-011,"Bradley County",Arkansas,79.9,106,1.7,78.2
AR-013,"Calhoun County",Arkansas,79.6,100,1.4,78.2
AR-015,"Carroll County",Arkansas,75.2,106,2.1,73.1
AR-017,"Chicot County",Arkansas,80.9,105,1.7,79.2
AR-019,"Clark County",Arkansas,78.6,89,0.9,77.7
AR-021,"Clay County",Arkansas,78.2,98,1.7,76.5
AR-023,"Cleburne County",Arkansas,76.7,102,1.8,74.9
AR-025,"Cleveland County",Arkansas,79.4,99,1.4,78
AR-027,"Columbia County",Arkansas,79.7,102,1.3,78.4
AR-029,"Conway County",Arkansas,77.7,88,1.2,76.5
AR-031,"Craighead County",Arkansas,78.9,99,1.9,77
AR-033,"Crawford County",Arkansas,77.4,103,2.2,75.2
AR-035,"Crittenden County",Arkansas,80.2,106,1.8,78.4
AR-037,"Cross County",Arkansas,79.8,105,1.9,77.9
AR-039,"Dallas County",Arkansas,78.8,93,1,77.8
AR-041,"Desha County",Arkansas,80.1,101,1.3,78.8
AR-043,"Drew County",Arkansas,80,103,1.5,78.5
AR-045,"Faulkner County",Arkansas,78.1,99,1.4,76.7
AR-047,"Franklin County",Arkansas,76.8,99,1.7,75.1
AR-049,"Fulton County",Arkansas,75.8,109,2.6,73.2
AR-051,"Garland County",Arkansas,77.2,84,0.8,76.4
AR-053,"Grant County",Arkansas,78.9,93,1,77.9
AR-055,"Greene County",Arkansas,78.4,100,1.8,76.6
AR-057,"Hempstead County",Arkansas,79.4,103,1.5,77.9
AR-059,"Hot Spring County",Arkansas,78.2,88,0.8,77.4
AR-061,"Howard County",Arkansas,78.5,108,1.9,76.6
AR-063,"Independence County",Arkansas,77,100,1.7,75.3
AR-065,"Izard County",Arkansas,75.7,101,1.7,74
AR-067,"Jackson County",Arkansas,78.6,102,2,76.6
AR-069,"Jefferson County",Arkansas,79.5,98,1.3,78.2
AR-071,"Johnson County",Arkansas,75.8,93,1.3,74.5
AR-073,"Lafayette County",Arkansas,80.6,111,1.9,78.7
AR-075,"Lawrence County",Arkansas,77.7,98,1.7,76
AR-077,"Lee County",Arkansas,80,107,1.7,78.3
AR-079,"Lincoln County",Arkansas,79.9,102,1.5,78.4
AR-081,"Little River County",Arkansas,80.8,118,2.9,77.9
AR-083,"Logan County",Arkansas,77.3,90,1.1,76.2
AR-085,"Lonoke County",Arkansas,79.1,98,1.2,77.9
AR-087,"Madison County",Arkansas,74.2,105,2,72.2
AR-089,"Marion County",Arkansas,76.1,109,2.5,73.6
AR-091,"Miller County",Arkansas,81.4,115,2.6,78.8
AR-093,"Mississippi County",Arkansas,79.5,99,1.7,77.8
AR-095,"Monroe County",Arkansas,79.8,105,1.5,78.3
AR-097,"Montgomery County",Arkansas,77,97,1.3,75.7
AR-099,"Nevada County",Arkansas,79,91,0.9,78.1
AR-101,"Newton County",Arkansas,73.7,98,1.5,72.2
AR-103,"Ouachita County",Arkansas,79.3,91,0.9,78.4
AR-105,"Perry County",Arkansas,77.6,82,0.7,76.9
AR-107,"Phillips County",Arkansas,79.8,100,1.4,78.4
AR-109,"Pike County",Arkansas,78,98,1.4,76.6
AR-111,"Poinsett County",Arkansas,79.4,100,1.9,77.5
AR-113,"Polk County",Arkansas,76,97,1.5,74.5
AR-115,"Pope County",Arkansas,76.1,83,0.9,75.2
AR-117,"Prairie County",Arkansas,79.5,103,1.4,78.1
AR-119,"Pulaski County",Arkansas,78.6,90,1,77.6
AR-121,"Randolph County",Arkansas,77.5,103,2.2,75.3
AR-123,"St. Francis County",Arkansas,80,107,1.8,78.2
AR-125,"Saline County",Arkansas,77.8,85,0.8,77
AR-127,"Scott County",Arkansas,76.9,96,1.4,75.5
AR-129,"Searcy County",Arkansas,74.6,98,1.4,73.2
AR-131,"Sebastian County",Arkansas,78.4,103,2,76.4
AR-133,"Sevier County",Arkansas,79.6,114,2.6,77
AR-135,"Sharp County",Arkansas,76.1,100,1.9,74.2
AR-137,"Stone County",Arkansas,75.5,101,1.7,73.8
AR-139,"Union County",Arkansas,80.1,109,1.7,78.4
AR-141,"Van Buren County",Arkansas,75.6,97,1.3,74.3
AR-143,"Washington County",Arkansas,75.4,105,2.2,73.2
AR-145,"White County",Arkansas,78.4,104,1.8,76.6
AR-147,"Woodruff County",Arkansas,79.5,106,1.9,77.6
AR-149,"Yell County",Arkansas,77.4,83,0.8,76.6
CA-001,"Alameda County",California,69.8,128,4.8,65
CA-003,"Alpine County",California,55.8,99,2.5,53.3
CA-005,"Amador County",California,71,113,3.7,67.3
CA-007,"Butte County",California,73.8,115,3.7,70.1
CA-009,"Calaveras County",California,71.5,114,3.7,67.8
CA-011,"Colusa County",California,74.9,109,2.6,72.3
CA-013,"Contra Costa County",California,72.1,128,5.2,66.9
CA-015,"Del Norte County",California,59,83,0.7,58.3
CA-017,"El Dorado County",California,66,105,2.7,63.3
CA-019,"Fresno County",California,69.6,114,4,65.6
CA-021,"Glenn County",California,73.6,104,2.4,71.2
CA-023,"Humboldt County",California,62.6,112,2.6,60
CA-025,"Imperial County",California,91.1,127,5.5,85.6
CA-027,"Inyo County",California,77.7,105,3.7,74
CA-029,"Kern County",California,77,118,4.5,72.5
CA-031,"Kings County",California,78.2,111,3.5,74.7
CA-033,"Lake County",California,68.1,100,2,66.1
CA-035,"Lassen County",California,59.5,84,1.4,58.1
CA-037,"Los Angeles County",California,74,125,6.1,67.9
CA-039,"Madera County",California,70.5,117,4.1,66.4
CA-041,"Marin County",California,62.3,126,3.5,58.8
CA-043,"Mariposa County",California,69.2,115,4,65.2
CA-045,"Mendocino County",California,64.2,108,2.3,61.9
CA-047,"Merced County",California,76.9,125,4.8,72.1
CA-049,"Modoc County",California,59.4,95,2.2,57.2
CA-051,"Mono County",California,57.8,96,2.5,55.3
CA-053,"Monterey County",California,69.4,129,5.3,64.1
CA-055,"Napa County",California,71.2,123,3.9,67.3
CA-057,"Nevada County",California,64.1,95,2.2,61.9
CA-059,"Orange County",California,71.7,127,5.1,66.6
CA-061,"Placer County",California,65.7,101,2.4,63.3
CA-063,"Plumas County",California,59.2,85,1.4,57.8
CA-065,"Riverside County",California,84.7,125,5.9,78.8
CA-067,"Sacramento County",California,76.3,126,4.7,71.6
CA-069,"San Benito County",California,71.3,125,5,66.3
CA-071,"San Bernardino County",California,84.2,118,4.9,79.3
CA-073,"San Diego County",California,74,125,5.4,68.6
CA-075,"San Francisco County",California,62.9,125,3.5,59.4
CA-077,"San Joaquin County",California,76,126,4.7,71.3
CA-079,"San Luis Obispo County",California,71.2,128,5.5,65.7
CA-081,"San Mateo County",California,63,126,3.7,59.3
CA-083,"Santa Barbara County",California,67.8,129,5.7,62.1
CA-085,"Santa Clara County",California,68.8,126,4.6,64.2
CA-087,"Santa Cruz County",California,65.4,128,5.1,60.3
CA-089,"Shasta County",California,67.9,96,2.4,65.5
CA-091,"Sierra County",California,58.6,87,1.7,56.9
CA-093,"Siskiyou County",California,59.8,96,1.9,57.9
CA-095,"Solano County",California,73.5,127,4.3,69.2
CA-097,"Sonoma County",California,65.5,122,3.3,62.2
